Date,Close
1/10/2012,5.524
1/11/2012,5.646
1/12/2012,5.65
1/13/2012,4.558
1/17/2012,5.32
1/18/2012,5.362
1/19/2012,5.352
1/20/2012,5.32
1/23/2012,5.354
1/24/2012,5.484
1/25/2012,5.594
1/26/2012,5.788
1/27/2012,5.866
1/30/2012,5.914
1/31/2012,5.814
2/1/2012,5.916
2/2/2012,6.05
2/3/2012,6.23
2/6/2012,6.36
2/7/2012,6.32
2/8/2012,6.386
2/9/2012,6.516
2/10/2012,6.22
2/13/2012,6.298
2/14/2012,6.634
2/15/2012,6.72
2/16/2012,6.836
2/17/2012,6.994
2/21/2012,6.9
2/22/2012,6.844
2/23/2012,6.906
2/24/2012,6.75
2/27/2012,6.724
2/28/2012,6.762
2/29/2012,6.682
3/1/2012,6.882
3/2/2012,6.808
3/5/2012,6.754
3/6/2012,6.622
3/7/2012,6.624
3/8/2012,6.614
3/9/2012,6.948
3/12/2012,7.202
3/13/2012,7.218
3/14/2012,7.058
3/15/2012,7
3/16/2012,7.064
3/19/2012,6.996
3/20/2012,6.992
3/21/2012,7.03
3/22/2012,6.88
3/23/2012,6.816
3/26/2012,7.48
3/27/2012,7.588
3/28/2012,7.57
3/29/2012,7.466
3/30/2012,7.448
4/2/2012,7.316
4/3/2012,7.602
4/4/2012,7
4/5/2012,6.896
4/9/2012,6.63
4/10/2012,6.492
4/11/2012,6.618
4/12/2012,6.688
4/13/2012,6.718
4/16/2012,6.45
4/17/2012,6.448
4/18/2012,6.532
4/19/2012,6.632
4/20/2012,6.632
4/23/2012,6.388
4/24/2012,6.364
4/25/2012,6.582
4/26/2012,6.698
4/27/2012,6.668
4/30/2012,6.626
5/1/2012,6.756
5/2/2012,6.788
5/3/2012,6.492
5/4/2012,6.366
5/7/2012,6.494
5/8/2012,6.038
5/9/2012,6.012
5/10/2012,6.592
5/11/2012,6.45
5/14/2012,6.012
5/15/2012,5.886
5/16/2012,5.836
5/17/2012,5.714
5/18/2012,5.512
5/21/2012,5.754
5/22/2012,6.16
5/23/2012,6.204
5/24/2012,6.056
5/25/2012,5.962
5/29/2012,6.338
5/30/2012,6.082
5/31/2012,5.9
6/1/2012,5.63
6/4/2012,5.576
6/5/2012,5.582
6/6/2012,5.844
6/7/2012,5.786
6/8/2012,6.016
6/11/2012,5.824
6/12/2012,5.932
6/13/2012,5.954
6/14/2012,5.878
6/15/2012,5.982
6/18/2012,6.368
6/19/2012,6.418
6/20/2012,6.756
6/21/2012,6.438
6/22/2012,6.758
6/25/2012,6.622
6/26/2012,6.322
6/27/2012,6.392
6/28/2012,6.282
6/29/2012,6.258
7/2/2012,6.08
7/3/2012,6.132
7/5/2012,6.246
7/6/2012,6.198
7/9/2012,6.298
7/10/2012,6.254
7/11/2012,6.302
7/12/2012,6.54
7/13/2012,6.85
7/16/2012,7.192
7/17/2012,6.67
7/18/2012,6.43
7/19/2012,6.454
7/20/2012,6.358
7/23/2012,6.132
7/24/2012,5.968
7/25/2012,5.79
7/26/2012,5.626
7/27/2012,5.902
7/30/2012,5.47
7/31/2012,5.484
8/1/2012,5.25
8/2/2012,5.22
8/3/2012,5.454
8/6/2012,5.654
8/7/2012,6.05
8/8/2012,5.818
8/9/2012,5.882
8/10/2012,5.988
8/13/2012,6.234
8/14/2012,5.884
8/15/2012,5.88
8/16/2012,6.06
8/17/2012,6.002
8/20/2012,5.902
8/21/2012,5.822
8/22/2012,5.99
8/23/2012,6.146
8/24/2012,5.9
8/27/2012,5.664
8/28/2012,5.738
8/29/2012,5.682
8/30/2012,5.682
8/31/2012,5.704
9/4/2012,5.628
9/5/2012,5.588
9/6/2012,5.71
9/7/2012,5.87
9/10/2012,5.474
9/11/2012,5.56
9/12/2012,5.656
9/13/2012,5.896
9/14/2012,6.078
9/17/2012,6.508
9/18/2012,6.268
9/19/2012,6.21
9/20/2012,6.18
9/21/2012,6.004
9/24/2012,6.132
9/25/2012,5.532
9/26/2012,5.508
9/27/2012,5.698
9/28/2012,5.856
10/1/2012,5.832
10/2/2012,5.96
10/3/2012,5.86
10/4/2012,5.88
10/5/2012,5.778
10/8/2012,5.85
10/9/2012,5.674
10/10/2012,5.68
10/11/2012,5.664
10/12/2012,5.528
10/15/2012,5.466
10/16/2012,5.612
10/17/2012,5.764
10/18/2012,5.608
10/19/2012,5.548
10/22/2012,5.57
10/23/2012,5.678
10/24/2012,5.484
10/25/2012,5.504
10/26/2012,5.476
10/31/2012,5.626
11/1/2012,5.85
11/2/2012,5.784
11/5/2012,6.3
11/6/2012,6.23
11/7/2012,6.308
11/8/2012,6.262
11/9/2012,6.064
11/12/2012,6.214
11/13/2012,6.322
11/14/2012,6.276
11/15/2012,6.164
11/16/2012,6.368
11/19/2012,6.584
11/20/2012,6.6
11/21/2012,6.494
11/23/2012,6.426
11/26/2012,6.454
11/27/2012,6.43
11/28/2012,6.646
11/29/2012,6.738
11/30/2012,6.764
12/3/2012,6.924
12/4/2012,6.78
12/5/2012,6.742
12/6/2012,6.78
12/7/2012,6.834
12/10/2012,6.914
12/11/2012,7.056
12/12/2012,7.052
12/13/2012,6.722
12/14/2012,6.762
12/17/2012,6.88
12/18/2012,6.918
12/19/2012,6.922
12/20/2012,6.886
12/21/2012,6.8
12/24/2012,6.856
12/26/2012,6.718
12/27/2012,6.738
12/28/2012,6.644
12/31/2012,6.774
1/2/2013,7.072
1/3/2013,6.954
1/4/2013,6.88
1/7/2013,6.868
1/8/2013,6.736
1/9/2013,6.728
1/10/2013,6.706
1/11/2013,6.582
1/14/2013,6.652
1/15/2013,6.78
1/16/2013,6.82
1/17/2013,6.876
1/18/2013,6.904
1/22/2013,7.038
1/23/2013,7.2
1/24/2013,7.398
1/25/2013,7.396
1/28/2013,7.606
1/29/2013,7.59
1/30/2013,7.504
1/31/2013,7.502
2/1/2013,7.66
2/4/2013,7.548
2/5/2013,7.626
2/6/2013,7.834
2/7/2013,7.896
2/8/2013,7.848
2/11/2013,7.684
2/12/2013,7.578
2/13/2013,7.69
2/14/2013,7.654
2/15/2013,7.408
2/19/2013,7.856
2/20/2013,7.708
2/21/2013,7.032
2/22/2013,7.222
2/25/2013,6.876
2/26/2013,6.886
2/27/2013,7.02
2/28/2013,6.966
3/1/2013,6.93
3/4/2013,7.116
3/5/2013,7.33
3/6/2013,7.538
3/7/2013,7.646
3/8/2013,7.694
3/11/2013,7.82
3/12/2013,7.824
3/13/2013,7.796
3/14/2013,7.37
3/15/2013,7.058
3/18/2013,7.03
3/19/2013,7.016
3/20/2013,7.19
3/21/2013,7.202
3/22/2013,7.324
3/25/2013,7.506
3/26/2013,7.572
3/27/2013,7.632
3/28/2013,7.578
4/1/2013,8.786
4/2/2013,8.868
4/3/2013,8.22
4/4/2013,8.402
4/5/2013,8.274
4/8/2013,8.366
4/9/2013,8.1
4/10/2013,8.372
4/11/2013,8.718
4/12/2013,8.75
4/15/2013,8.66
4/16/2013,9.118
4/17/2013,9.09
4/18/2013,9.394
4/19/2013,9.566
4/22/2013,10.038
4/23/2013,10.202
4/24/2013,10.086
4/25/2013,10.4
4/26/2013,10.24
